# id	left	top	right	bottom	texture_id
[SPRITES]

	#pink
80001	919	137	934	152	30
80002	919	154	934	169	30
80003	919	171	934	186	30

80004	936	137	951	152	30
80005	936	154	951	169	30
80006	936	171	951	186	30

80007	953	137	968	152	30
80008	953	154	968	169	30
80009	953	171	968	186	30

	#blue
80011	970	137	985	152	30
80012	970	154	985	169	30
80013	970	171	985	186	30

80014	987	137	1002	152	30
80015	987	154	1002	169	30
80016	987	171	1002	186	30

80017	1004	137	1019	152	30
80018	1004	154	1019	169	30
80019	1004	171	1019	186	30
	
	#green
80021	919	188	934	203	30
80022	919	205	934	220	30
80023	919	222	934	237	30

80024	936	188	951	203	30
80025	936	205	951	220	30
80026	936	222	951	237	30

80027	953	188	968	203	30
80028	953	205	968	220	30
80029	953	222	968	237	30

	#white
80031	970	188	985	203	30
80032	970	205	985	220	30
80033	970	222	985	237	30

80034	987	188	1002	203	30
80035	987	205	1002	220	30
80036	987	222	1002	237	30

80037	1004	188	1019	203	30
80038	1004	205	1019	220	30
80039	1004	222	1019	237	30

# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
